STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP
COOP:305811,3.4,40.77944,-73.88028,20130208 23:00,4
COOP:305811,3.4,40.77944,-73.88028,20130209 00:00,6
COOP:305811,3.4,40.77944,-73.88028,20130209 01:00,6
COOP:305811,3.4,40.77944,-73.88028,20130209 02:00,6
COOP:305811,3.4,40.77944,-73.88028,20130209 03:00,8
COOP:305811,3.4,40.77944,-73.88028,20130209 04:00,2
COOP:305811,3.4,40.77944,-73.88028,20130209 05:00,0
COOP:305811,3.4,40.77944,-73.88028,20130209 06:00,0
COOP:305811,3.4,40.77944,-73.88028,20130209 07:00,0
COOP:305811,3.4,40.77944,-73.88028,20130211 05:00,0
COOP:305811,3.4,40.77944,-73.88028,20130211 06:00,1
COOP:305811,3.4,40.77944,-73.88028,20130211 07:00,7
COOP:305811,3.4,40.77944,-73.88028,20130211 08:00,6
COOP:305811,3.4,40.77944,-73.88028,20130211 09:00,18
COOP:305811,3.4,40.77944,-73.88028,20130211 10:00,13
COOP:305811,3.4,40.77944,-73.88028,20130211 11:00,4
COOP:305811,3.4,40.77944,-73.88028,20130211 12:00,0
COOP:305811,3.4,40.77944,-73.88028,20130211 13:00,1
COOP:305811,3.4,40.77944,-73.88028,20130211 14:00,1
COOP:305811,3.4,40.77944,-73.88028,20130211 15:00,0
COOP:305811,3.4,40.77944,-73.88028,20130211 16:00,0
COOP:305811,3.4,40.77944,-73.88028,20130211 22:00,0
COOP:305811,3.4,40.77944,-73.88028,20130211 23:00,1
COOP:305811,3.4,40.77944,-73.88028,20130213 20:00,0
COOP:305811,3.4,40.77944,-73.88028,20130213 21:00,0
COOP:305811,3.4,40.77944,-73.88028,20130213 22:00,0
COOP:305811,3.4,40.77944,-73.88028,20130213 23:00,0
COOP:305811,3.4,40.77944,-73.88028,20130214 00:00,2
COOP:305811,3.4,40.77944,-73.88028,20130214 01:00,0
COOP:305811,3.4,40.77944,-73.88028,20130214 02:00,0
COOP:305811,3.4,40.77944,-73.88028,20130216 01:00,0
COOP:305811,3.4,40.77944,-73.88028,20130216 02:00,0
COOP:305811,3.4,40.77944,-73.88028,20130216 03:00,1
COOP:305811,3.4,40.77944,-73.88028,20130216 04:00,1
COOP:305811,3.4,40.77944,-73.88028,20130216 05:00,0
